cliente_id,regras_acionadas,fracionamento,valor_atipico,risco_esperado,risco_agente,concorda,direcao,tipologia,qtd_red_flags,ferramentas,justificativa
CLI-029,1,True,False,medio,medio,True,igual,fracionamento,2,operacoes_do_dia,"O cliente realizou quatro transações de valor elevado em um único dia, totalizando 37% do volume total, o que caracteriza fracionamento. Esse padrão pode indicar tentativa de ocultar a origem de recursos, justificando o nível de risco moderado."
CLI-017,1,True,False,medio,alto,False,agente escalou,estruturação de valores,3,operacoes_do_dia,"O cliente realizou 4 transações em 08/03/2026 que somam mais da metade do volume total, todas acima do ticket médio, indicando tentativa de evitar limites de transação. O uso de canais e tipos variados reforça a hipótese de estruturação de valores."
CLI-002,1,True,False,medio,alto,False,agente escalou,fracionamento,4,operacoes_do_dia,"O cliente concentrou quase 60% do volume total em 4 operações de mais de 14 k BRL em um único dia, indicando tentativa de fracionamento. O uso de canais eletrônicos (Pix e TEd) facilita a movimentação rápida e pode reduzir a rastreabilidade. A presença de múltiplas contrapartes distintas reforça a hipótese de estruturação de valores."
CLI-003,1,True,False,medio,medio,True,igual,estruturação,3,operacoes_do_dia,"O cliente realizou quatro transações em 2026‑05‑02, totalizando quase metade do volume total, o que indica tentativa de evitar limites diários. O uso de canais diferentes (pix, TED e cartão) sugere dispersão de valores. Esses indícios apontam para uma prática de estruturação de operações."
CLI-014,1,False,True,medio,medio,True,igual,valor atípico,2,historico_cliente,"A maior operação de R$ 23 640,97 excede em mais de 10 vezes o ticket mediano de R$ 2 308,41, indicando desvio significativo. O ticket médio de R$ 7 330,00 ainda está abaixo do valor da maior operação, reforçando a suspeita de valor atípico."
CLI-023,1,False,True,medio,medio,True,igual,transações de valor atípico,1,,"O cliente possui 12 operações, com volume total de R$148.535,02 e ticket mediano de R$3.241,16. Duas operações foram sinalizadas como valor atípico, indicando que o valor dessas transações se desvia significativamente do padrão médio. Esse padrão caracteriza a tipologia de transações de valor atípico, que pode indicar tentativas de ocultar a origem de recursos."
CLI-028,1,False,True,medio,medio,True,igual,valor atípico,2,historico_cliente,"O cliente possui 12 operações, sendo 2 sinalizadas por valor atípico. A maior transação representa mais de 6 vezes o ticket mediano, indicando um desvio significativo em relação ao padrão de movimentação. Embora não haja fracionamento nem outras anomalias, o valor elevado justifica um nível de risco médio."
CLI-013,1,False,True,medio,medio,True,igual,valor atípico,2,,"O cliente possui 10 operações, com 2 sinalizadas por valor atípico. O volume total e o ticket mediano indicam que a maioria das transações está dentro de um padrão razoável, mas as duas operações sinalizadas podem representar desvios significativos. Diante disso, a tipologia de valor atípico é identificada, justificando um nível de risco médio."
CLI-005,1,False,True,medio,medio,True,igual,transações de valor atípico,3,historico_cliente,"O cliente possui duas operações sinalizadas como atípicas, com a maior transação atingindo R$ 30 743,97, muito acima do ticket mediano de R$ 2 144,18. Esse desvio significativo indica um padrão de movimentação de alto valor que pode estar relacionado a tentativas de lavagem de dinheiro. A presença de duas operações atípicas em um conjunto pequeno de transações reforça a necessidade de investigação adicional."
CLI-026,1,False,True,medio,medio,True,igual,valor atípico,2,historico_cliente,"O cliente apresentou duas operações que se desviam significativamente do ticket mediano, com a maior operação representando mais de 10 vezes o valor mediano e quase 40% do volume total, e a menor sendo menos de 30% do ticket mediano. Esses desvios indicam transações de valor atípico, que são um indicativo de possível movimentação irregular. Apesar de não haver sinais de fracionamento ou uso de espécie, a magnitude das variações justifica um nível de risco médio e requer monitoramento adicional."
